scoreline,total_count,atp_count,wta_count
7-5 4-6 6-4,222,111,111
6-2 4-6 6-1,221,85,136
6-3 2-6 6-2,221,96,125
6-7 6-2 6-2,220,125,95
6-2 2-6 6-4,219,95,124
3-6 6-4 7-5,218,100,118
6-3 4-6 7-5,218,107,111
3-6 7-5 6-4,217,111,106
7-6 3-6 7-6,217,171,46
6-7 6-3 7-6,216,175,41
6-4 6-7 6-2,214,115,99
6-7 7-6 6-2,214,144,70
3-6 6-1 6-3,212,91,121
5-7 6-3 6-2,210,101,109
3-6 7-6 7-6,209,163,46
3-6 6-4 7-6,207,134,73
6-7 6-1 6-4,207,129,78
2-6 6-2 6-4,204,79,125
7-6 2-6 6-3,204,119,85
7-6 4-6 6-2,204,113,91
4-6 7-5 6-1,203,85,118
7-6 4-6 7-6,203,166,37
6-4 5-7 6-3,202,109,93
3-6 7-5 6-2,198,98,100
6-3 6-7 6-1,197,119,78
6-7 7-6 7-6,194,174,20
6-4 6-7 6-1,193,107,86
1-6 6-4 6-3,192,92,100
2-6 6-4 6-1,191,78,113
1-6 6-3 6-2,190,85,105
6-3 5-7 6-2,190,84,106
5-7 6-2 6-3,189,80,109
6-7 6-4 7-5,189,117,72
6-2 3-6 7-5,188,93,95
7-6 3-6 6-2,188,107,81
6-1 3-6 6-2,187,75,112
6-7 6-4 6-1,185,95,90
7-6 4-6 6-1,185,119,66
6-1 4-6 6-2,184,68,116
2-6 7-6 6-3,182,104,78
2-6 6-2 6-2,181,63,118
6-4 1-6 6-4,181,76,105
7-6 2-6 6-4,181,98,83
7-6 6-7 7-6,181,164,17
4-6 7-6 6-1,180,103,77
2-6 7-5 6-3,179,90,89
6-1 3-6 6-4,179,87,92
6-7 6-3 6-1,179,92,87
6-1 6-7 6-3,178,92,86
6-2 5-7 6-4,176,80,96
4-6 6-2 7-5,175,76,99
4-6 6-3 6-0,175,73,102
5-7 7-6 6-4,175,112,63
6-1 3-6 6-1,175,75,100
6-2 4-6 7-5,174,77,97
4-6 6-1 6-1,172,77,95
4-6 7-6 7-5,172,118,54
6-2 3-6 7-6,172,109,63
1-6 6-3 6-3,171,69,102
5-7 6-2 6-4,171,75,96
6-2 6-7 6-2,171,99,72
6-7 6-1 6-2,171,78,93
1-6 6-4 6-4,169,79,90
2-6 6-1 6-4,169,91,78
7-5 3-6 6-4,169,79,90
7-5 4-6 6-2,169,81,88
7-6 6-7 6-2,169,119,50
1-6 6-4 6-2,168,73,95
5-7 7-6 6-3,168,100,68
6-4 5-7 6-2,167,88,79
3-6 7-5 6-1,166,85,81
6-3 1-6 6-4,166,78,88
6-7 7-5 6-3,166,100,66
6-7 7-5 6-4,166,96,70
2-6 6-3 7-5,164,74,90
3-6 7-6 6-1,164,80,84
4-6 6-2 7-6,164,90,74
3-6 6-1 6-1,163,66,97
2-6 6-3 6-1,160,67,93
6-4 6-7 7-5,159,99,60
2-6 7-6 6-2,157,80,77
6-2 4-6 7-6,156,88,68
6-2 5-7 6-3,156,84,72
6-7 6-2 6-1,156,71,85
6-3 1-6 6-2,155,79,76
6-4 2-6 6-1,155,62,93
6-3 2-6 7-6,154,94,60
6-2 2-6 6-2,153,57,96
1-6 6-2 6-3,152,53,99
5-7 6-2 6-2,152,65,87
6-2 5-7 6-2,152,48,104
7-5 4-6 6-1,152,71,81
7-6 4-6 7-5,151,96,55
2-6 6-3 7-6,150,87,63
3-6 6-2 7-5,149,67,82
6-7 6-3 7-5,149,99,50
6-2 6-7 6-1,148,81,67
5-7 6-3 6-1,147,55,92
7-5 2-6 6-4,147,62,85
7-6 3-6 6-1,147,97,50
7-6 3-6 7-5,147,85,62
7-5 3-6 6-2,146,66,80
2-6 7-5 6-4,145,60,85
7-5 6-7 6-4,145,84,61
6-4 2-6 7-5,144,68,76
7-6 5-7 6-3,143,86,57
2-6 6-2 6-1,142,55,87
5-7 6-4 6-1,142,74,68
6-4 1-6 6-2,142,63,79
6-4 2-6 7-6,142,88,54
3-6 6-4 6-0,140,71,69
