scoreline,first_set,is_straight_sets,num_sets,set1_score,set2_score,set3_score,observed_all_time,observed_2024,count_all_time,count_atp_all_time,count_wta_all_time,count_2024,count_atp_2024,count_wta_2024
1-6 7-6 6-3,1-6,FALSE,3,1-6,7-6,6-3,TRUE,TRUE,103,63,40,1,1,0
2-6 7-6 6-3,2-6,FALSE,3,2-6,7-6,6-3,TRUE,TRUE,182,104,78,3,3,0
3-6 7-6 6-3,3-6,FALSE,3,3-6,7-6,6-3,TRUE,TRUE,261,157,104,4,3,1
4-6 7-6 6-3,4-6,FALSE,3,4-6,7-6,6-3,TRUE,TRUE,327,196,131,7,3,4
5-7 7-6 6-3,5-7,FALSE,3,5-7,7-6,6-3,TRUE,TRUE,168,100,68,8,6,2
6-7 7-6 6-3,6-7,FALSE,3,6-7,7-6,6-3,TRUE,TRUE,316,247,69,11,11,0
0-6 6-0 6-4,0-6,FALSE,3,0-6,6-0,6-4,TRUE,FALSE,6,0,6,0,0,0
1-6 6-0 6-4,1-6,FALSE,3,1-6,6-0,6-4,TRUE,FALSE,19,10,9,0,0,0
2-6 6-0 6-4,2-6,FALSE,3,2-6,6-0,6-4,TRUE,FALSE,49,23,26,0,0,0
3-6 6-0 6-4,3-6,FALSE,3,3-6,6-0,6-4,TRUE,TRUE,58,24,34,2,1,1
4-6 6-0 6-4,4-6,FALSE,3,4-6,6-0,6-4,TRUE,TRUE,80,29,51,2,0,2
5-7 6-0 6-4,5-7,FALSE,3,5-7,6-0,6-4,TRUE,TRUE,31,16,15,1,0,1
6-7 6-0 6-4,6-7,FALSE,3,6-7,6-0,6-4,TRUE,FALSE,50,29,21,0,0,0
0-6 6-1 6-4,0-6,FALSE,3,0-6,6-1,6-4,TRUE,TRUE,25,4,21,2,0,2
1-6 6-1 6-4,1-6,FALSE,3,1-6,6-1,6-4,TRUE,TRUE,99,46,53,2,2,0
2-6 6-1 6-4,2-6,FALSE,3,2-6,6-1,6-4,TRUE,TRUE,169,91,78,3,2,1
3-6 6-1 6-4,3-6,FALSE,3,3-6,6-1,6-4,TRUE,TRUE,313,184,129,7,5,2
4-6 6-1 6-4,4-6,FALSE,3,4-6,6-1,6-4,TRUE,TRUE,406,229,177,3,2,1
5-7 6-1 6-4,5-7,FALSE,3,5-7,6-1,6-4,TRUE,FALSE,109,66,43,0,0,0
6-7 6-1 6-4,6-7,FALSE,3,6-7,6-1,6-4,TRUE,TRUE,207,129,78,10,6,4
0-6 6-2 6-4,0-6,FALSE,3,0-6,6-2,6-4,TRUE,TRUE,42,13,29,1,0,1
1-6 6-2 6-4,1-6,FALSE,3,1-6,6-2,6-4,TRUE,TRUE,137,53,84,1,0,1
2-6 6-2 6-4,2-6,FALSE,3,2-6,6-2,6-4,TRUE,TRUE,204,79,125,5,0,5
3-6 6-2 6-4,3-6,FALSE,3,3-6,6-2,6-4,TRUE,TRUE,320,136,184,3,3,0
4-6 6-2 6-4,4-6,FALSE,3,4-6,6-2,6-4,TRUE,TRUE,339,163,176,6,0,6
5-7 6-2 6-4,5-7,FALSE,3,5-7,6-2,6-4,TRUE,TRUE,171,75,96,2,1,1
6-7 6-2 6-4,6-7,FALSE,3,6-7,6-2,6-4,TRUE,TRUE,291,186,105,7,5,2
0-6 6-3 6-4,0-6,FALSE,3,0-6,6-3,6-4,TRUE,TRUE,55,18,37,2,0,2
1-6 6-3 6-4,1-6,FALSE,3,1-6,6-3,6-4,TRUE,TRUE,290,167,123,8,4,4
2-6 6-3 6-4,2-6,FALSE,3,2-6,6-3,6-4,TRUE,TRUE,459,258,201,5,2,3
3-6 6-3 6-4,3-6,FALSE,3,3-6,6-3,6-4,TRUE,TRUE,801,516,285,24,14,10
4-6 6-3 6-4,4-6,FALSE,3,4-6,6-3,6-4,TRUE,TRUE,883,572,311,17,15,2
5-7 6-3 6-4,5-7,FALSE,3,5-7,6-3,6-4,TRUE,TRUE,284,154,130,8,4,4
6-7 6-3 6-4,6-7,FALSE,3,6-7,6-3,6-4,TRUE,TRUE,498,345,153,15,10,5
0-6 6-4 6-4,0-6,FALSE,3,0-6,6-4,6-4,TRUE,TRUE,65,28,37,2,2,0
1-6 6-4 6-4,1-6,FALSE,3,1-6,6-4,6-4,TRUE,TRUE,169,79,90,1,0,1
2-6 6-4 6-4,2-6,FALSE,3,2-6,6-4,6-4,TRUE,TRUE,345,164,181,12,5,7
3-6 6-4 6-4,3-6,FALSE,3,3-6,6-4,6-4,TRUE,TRUE,470,247,223,11,3,8
4-6 6-4 6-4,4-6,FALSE,3,4-6,6-4,6-4,TRUE,TRUE,532,276,256,4,3,1
5-7 6-4 6-4,5-7,FALSE,3,5-7,6-4,6-4,TRUE,TRUE,315,180,135,7,4,3
6-7 6-4 6-4,6-7,FALSE,3,6-7,6-4,6-4,TRUE,TRUE,487,354,133,10,6,4
0-6 7-5 6-4,0-6,FALSE,3,0-6,7-5,6-4,TRUE,TRUE,22,10,12,1,0,1
1-6 7-5 6-4,1-6,FALSE,3,1-6,7-5,6-4,TRUE,TRUE,98,43,55,4,1,3
2-6 7-5 6-4,2-6,FALSE,3,2-6,7-5,6-4,TRUE,TRUE,145,60,85,2,2,0
3-6 7-5 6-4,3-6,FALSE,3,3-6,7-5,6-4,TRUE,TRUE,217,111,106,7,5,2
4-6 7-5 6-4,4-6,FALSE,3,4-6,7-5,6-4,TRUE,TRUE,242,121,121,7,3,4
5-7 7-5 6-4,5-7,FALSE,3,5-7,7-5,6-4,TRUE,TRUE,108,59,49,2,0,2
6-7 7-5 6-4,6-7,FALSE,3,6-7,7-5,6-4,TRUE,TRUE,166,96,70,7,4,3
0-6 7-6 6-4,0-6,FALSE,3,0-6,7-6,6-4,TRUE,FALSE,35,17,18,0,0,0
1-6 7-6 6-4,1-6,FALSE,3,1-6,7-6,6-4,TRUE,TRUE,134,85,49,3,2,1
2-6 7-6 6-4,2-6,FALSE,3,2-6,7-6,6-4,TRUE,TRUE,238,146,92,2,1,1
3-6 7-6 6-4,3-6,FALSE,3,3-6,7-6,6-4,TRUE,TRUE,439,301,138,11,7,4
4-6 7-6 6-4,4-6,FALSE,3,4-6,7-6,6-4,TRUE,TRUE,471,332,139,7,3,4
5-7 7-6 6-4,5-7,FALSE,3,5-7,7-6,6-4,TRUE,TRUE,175,112,63,2,2,0
6-7 7-6 6-4,6-7,FALSE,3,6-7,7-6,6-4,TRUE,TRUE,264,211,53,5,4,1
0-6 6-0 7-5,0-6,FALSE,3,0-6,6-0,7-5,TRUE,FALSE,2,0,2,0,0,0
1-6 6-0 7-5,1-6,FALSE,3,1-6,6-0,7-5,TRUE,FALSE,11,6,5,0,0,0
2-6 6-0 7-5,2-6,FALSE,3,2-6,6-0,7-5,TRUE,TRUE,22,6,16,1,0,1
3-6 6-0 7-5,3-6,FALSE,3,3-6,6-0,7-5,TRUE,TRUE,31,12,19,1,0,1
4-6 6-0 7-5,4-6,FALSE,3,4-6,6-0,7-5,TRUE,TRUE,37,14,23,1,1,0
5-7 6-0 7-5,5-7,FALSE,3,5-7,6-0,7-5,TRUE,FALSE,17,7,10,0,0,0
6-7 6-0 7-5,6-7,FALSE,3,6-7,6-0,7-5,TRUE,TRUE,33,18,15,2,0,2
0-6 6-1 7-5,0-6,FALSE,3,0-6,6-1,7-5,TRUE,TRUE,9,4,5,1,0,1
1-6 6-1 7-5,1-6,FALSE,3,1-6,6-1,7-5,TRUE,TRUE,41,19,22,2,1,1
2-6 6-1 7-5,2-6,FALSE,3,2-6,6-1,7-5,TRUE,FALSE,82,36,46,0,0,0
3-6 6-1 7-5,3-6,FALSE,3,3-6,6-1,7-5,TRUE,FALSE,102,48,54,0,0,0
4-6 6-1 7-5,4-6,FALSE,3,4-6,6-1,7-5,TRUE,TRUE,135,63,72,2,0,2
5-7 6-1 7-5,5-7,FALSE,3,5-7,6-1,7-5,TRUE,FALSE,43,19,24,0,0,0
6-7 6-1 7-5,6-7,FALSE,3,6-7,6-1,7-5,TRUE,FALSE,76,40,36,0,0,0
0-6 6-2 7-5,0-6,FALSE,3,0-6,6-2,7-5,TRUE,FALSE,13,5,8,0,0,0
1-6 6-2 7-5,1-6,FALSE,3,1-6,6-2,7-5,TRUE,FALSE,54,22,32,0,0,0
2-6 6-2 7-5,2-6,FALSE,3,2-6,6-2,7-5,TRUE,TRUE,104,37,67,1,0,1
3-6 6-2 7-5,3-6,FALSE,3,3-6,6-2,7-5,TRUE,TRUE,149,67,82,2,2,0
4-6 6-2 7-5,4-6,FALSE,3,4-6,6-2,7-5,TRUE,TRUE,175,76,99,2,2,0
5-7 6-2 7-5,5-7,FALSE,3,5-7,6-2,7-5,TRUE,FALSE,82,43,39,0,0,0
6-7 6-2 7-5,6-7,FALSE,3,6-7,6-2,7-5,TRUE,FALSE,92,56,36,0,0,0
0-6 6-3 7-5,0-6,FALSE,3,0-6,6-3,7-5,TRUE,FALSE,17,6,11,0,0,0
1-6 6-3 7-5,1-6,FALSE,3,1-6,6-3,7-5,TRUE,TRUE,76,39,37,2,2,0
2-6 6-3 7-5,2-6,FALSE,3,2-6,6-3,7-5,TRUE,TRUE,164,74,90,2,1,1
3-6 6-3 7-5,3-6,FALSE,3,3-6,6-3,7-5,TRUE,TRUE,264,152,112,6,4,2
4-6 6-3 7-5,4-6,FALSE,3,4-6,6-3,7-5,TRUE,TRUE,305,164,141,7,2,5
5-7 6-3 7-5,5-7,FALSE,3,5-7,6-3,7-5,TRUE,TRUE,89,54,35,1,0,1
6-7 6-3 7-5,6-7,FALSE,3,6-7,6-3,7-5,TRUE,TRUE,149,99,50,9,6,3
0-6 6-4 7-5,0-6,FALSE,3,0-6,6-4,7-5,TRUE,TRUE,21,7,14,1,0,1
1-6 6-4 7-5,1-6,FALSE,3,1-6,6-4,7-5,TRUE,TRUE,66,29,37,1,0,1
2-6 6-4 7-5,2-6,FALSE,3,2-6,6-4,7-5,TRUE,TRUE,136,59,77,1,0,1
3-6 6-4 7-5,3-6,FALSE,3,3-6,6-4,7-5,TRUE,TRUE,218,100,118,4,1,3
4-6 6-4 7-5,4-6,FALSE,3,4-6,6-4,7-5,TRUE,TRUE,266,140,126,4,1,3
5-7 6-4 7-5,5-7,FALSE,3,5-7,6-4,7-5,TRUE,TRUE,112,54,58,4,3,1
6-7 6-4 7-5,6-7,FALSE,3,6-7,6-4,7-5,TRUE,TRUE,189,117,72,3,2,1
0-6 7-5 7-5,0-6,FALSE,3,0-6,7-5,7-5,TRUE,TRUE,12,5,7,1,0,1
1-6 7-5 7-5,1-6,FALSE,3,1-6,7-5,7-5,TRUE,FALSE,42,20,22,0,0,0
2-6 7-5 7-5,2-6,FALSE,3,2-6,7-5,7-5,TRUE,FALSE,66,27,39,0,0,0
3-6 7-5 7-5,3-6,FALSE,3,3-6,7-5,7-5,TRUE,TRUE,105,45,60,2,0,2
4-6 7-5 7-5,4-6,FALSE,3,4-6,7-5,7-5,TRUE,TRUE,120,48,72,3,1,2
5-7 7-5 7-5,5-7,FALSE,3,5-7,7-5,7-5,TRUE,FALSE,53,25,28,0,0,0
6-7 7-5 7-5,6-7,FALSE,3,6-7,7-5,7-5,TRUE,TRUE,51,25,26,2,1,1
0-6 7-6 7-5,0-6,FALSE,3,0-6,7-6,7-5,TRUE,TRUE,15,10,5,1,1,0
1-6 7-6 7-5,1-6,FALSE,3,1-6,7-6,7-5,TRUE,TRUE,59,29,30,3,0,3
2-6 7-6 7-5,2-6,FALSE,3,2-6,7-6,7-5,TRUE,TRUE,85,51,34,2,1,1
3-6 7-6 7-5,3-6,FALSE,3,3-6,7-6,7-5,TRUE,TRUE,139,88,51,7,4,3
4-6 7-6 7-5,4-6,FALSE,3,4-6,7-6,7-5,TRUE,TRUE,172,118,54,3,1,2
5-7 7-6 7-5,5-7,FALSE,3,5-7,7-6,7-5,TRUE,TRUE,50,31,19,1,0,1
6-7 7-6 7-5,6-7,FALSE,3,6-7,7-6,7-5,TRUE,TRUE,129,99,30,1,1,0
0-6 6-0 7-6,0-6,FALSE,3,0-6,6-0,7-6,TRUE,FALSE,1,1,0,0,0,0
1-6 6-0 7-6,1-6,FALSE,3,1-6,6-0,7-6,TRUE,FALSE,9,5,4,0,0,0
2-6 6-0 7-6,2-6,FALSE,3,2-6,6-0,7-6,TRUE,FALSE,15,8,7,0,0,0
3-6 6-0 7-6,3-6,FALSE,3,3-6,6-0,7-6,TRUE,FALSE,34,17,17,0,0,0
4-6 6-0 7-6,4-6,FALSE,3,4-6,6-0,7-6,TRUE,TRUE,27,15,12,1,0,1
5-7 6-0 7-6,5-7,FALSE,3,5-7,6-0,7-6,TRUE,FALSE,7,5,2,0,0,0
6-7 6-0 7-6,6-7,FALSE,3,6-7,6-0,7-6,TRUE,FALSE,18,10,8,0,0,0
0-6 6-1 7-6,0-6,FALSE,3,0-6,6-1,7-6,TRUE,FALSE,6,2,4,0,0,0
1-6 6-1 7-6,1-6,FALSE,3,1-6,6-1,7-6,TRUE,TRUE,38,23,15,2,1,1
2-6 6-1 7-6,2-6,FALSE,3,2-6,6-1,7-6,TRUE,TRUE,69,34,35,3,1,2
3-6 6-1 7-6,3-6,FALSE,3,3-6,6-1,7-6,TRUE,TRUE,111,70,41,2,2,0
4-6 6-1 7-6,4-6,FALSE,3,4-6,6-1,7-6,TRUE,TRUE,132,77,55,8,3,5
5-7 6-1 7-6,5-7,FALSE,3,5-7,6-1,7-6,TRUE,TRUE,37,21,16,1,0,1
6-7 6-1 7-6,6-7,FALSE,3,6-7,6-1,7-6,TRUE,FALSE,59,39,20,0,0,0
0-6 6-2 7-6,0-6,FALSE,3,0-6,6-2,7-6,TRUE,FALSE,12,4,8,0,0,0
1-6 6-2 7-6,1-6,FALSE,3,1-6,6-2,7-6,TRUE,TRUE,58,31,27,2,1,1
2-6 6-2 7-6,2-6,FALSE,3,2-6,6-2,7-6,TRUE,TRUE,94,51,43,4,2,2
3-6 6-2 7-6,3-6,FALSE,3,3-6,6-2,7-6,TRUE,TRUE,132,75,57,1,1,0
4-6 6-2 7-6,4-6,FALSE,3,4-6,6-2,7-6,TRUE,TRUE,164,90,74,1,0,1
5-7 6-2 7-6,5-7,FALSE,3,5-7,6-2,7-6,TRUE,TRUE,73,42,31,2,1,1
6-7 6-2 7-6,6-7,FALSE,3,6-7,6-2,7-6,TRUE,TRUE,126,94,32,6,4,2
0-6 6-3 7-6,0-6,FALSE,3,0-6,6-3,7-6,TRUE,FALSE,18,9,9,0,0,0
1-6 6-3 7-6,1-6,FALSE,3,1-6,6-3,7-6,TRUE,TRUE,88,54,34,4,0,4
2-6 6-3 7-6,2-6,FALSE,3,2-6,6-3,7-6,TRUE,TRUE,150,87,63,6,2,4
3-6 6-3 7-6,3-6,FALSE,3,3-6,6-3,7-6,TRUE,TRUE,332,244,88,7,4,3
4-6 6-3 7-6,4-6,FALSE,3,4-6,6-3,7-6,TRUE,TRUE,314,225,89,10,8,2
5-7 6-3 7-6,5-7,FALSE,3,5-7,6-3,7-6,TRUE,TRUE,114,70,44,1,1,0
6-7 6-3 7-6,6-7,FALSE,3,6-7,6-3,7-6,TRUE,TRUE,216,175,41,5,4,1
0-6 6-4 7-6,0-6,FALSE,3,0-6,6-4,7-6,TRUE,FALSE,31,19,12,0,0,0
1-6 6-4 7-6,1-6,FALSE,3,1-6,6-4,7-6,TRUE,TRUE,87,43,44,2,0,2
2-6 6-4 7-6,2-6,FALSE,3,2-6,6-4,7-6,TRUE,TRUE,130,73,57,4,2,2
3-6 6-4 7-6,3-6,FALSE,3,3-6,6-4,7-6,TRUE,TRUE,207,134,73,8,2,6
4-6 6-4 7-6,4-6,FALSE,3,4-6,6-4,7-6,TRUE,TRUE,290,185,105,5,2,3
5-7 6-4 7-6,5-7,FALSE,3,5-7,6-4,7-6,TRUE,TRUE,115,74,41,2,2,0
6-7 6-4 7-6,6-7,FALSE,3,6-7,6-4,7-6,TRUE,TRUE,257,203,54,12,7,5
0-6 7-5 7-6,0-6,FALSE,3,0-6,7-5,7-6,TRUE,TRUE,9,5,4,2,0,2
1-6 7-5 7-6,1-6,FALSE,3,1-6,7-5,7-6,TRUE,TRUE,47,29,18,1,0,1
2-6 7-5 7-6,2-6,FALSE,3,2-6,7-5,7-6,TRUE,TRUE,67,41,26,1,1,0
3-6 7-5 7-6,3-6,FALSE,3,3-6,7-5,7-6,TRUE,TRUE,107,74,33,1,0,1
4-6 7-5 7-6,4-6,FALSE,3,4-6,7-5,7-6,TRUE,TRUE,128,95,33,4,2,2
5-7 7-5 7-6,5-7,FALSE,3,5-7,7-5,7-6,TRUE,TRUE,48,25,23,2,2,0
6-7 7-5 7-6,6-7,FALSE,3,6-7,7-5,7-6,TRUE,TRUE,109,79,30,4,3,1
0-6 7-6 7-6,0-6,FALSE,3,0-6,7-6,7-6,TRUE,FALSE,24,10,14,0,0,0
1-6 7-6 7-6,1-6,FALSE,3,1-6,7-6,7-6,TRUE,TRUE,68,41,27,1,1,0
2-6 7-6 7-6,2-6,FALSE,3,2-6,7-6,7-6,TRUE,TRUE,105,77,28,1,0,1
3-6 7-6 7-6,3-6,FALSE,3,3-6,7-6,7-6,TRUE,TRUE,209,163,46,6,3,3
4-6 7-6 7-6,4-6,FALSE,3,4-6,7-6,7-6,TRUE,TRUE,257,196,61,8,6,2
5-7 7-6 7-6,5-7,FALSE,3,5-7,7-6,7-6,TRUE,TRUE,83,58,25,3,1,2
6-7 7-6 7-6,6-7,FALSE,3,6-7,7-6,7-6,TRUE,TRUE,194,174,20,7,7,0
6-0 0-6 6-0,6-0,FALSE,3,6-0,0-6,6-0,FALSE,FALSE,0,0,0,0,0,0
6-1 0-6 6-0,6-1,FALSE,3,6-1,0-6,6-0,TRUE,FALSE,5,2,3,0,0,0
6-2 0-6 6-0,6-2,FALSE,3,6-2,0-6,6-0,TRUE,FALSE,3,1,2,0,0,0
6-3 0-6 6-0,6-3,FALSE,3,6-3,0-6,6-0,TRUE,FALSE,10,5,5,0,0,0
6-4 0-6 6-0,6-4,FALSE,3,6-4,0-6,6-0,TRUE,FALSE,6,3,3,0,0,0
7-5 0-6 6-0,7-5,FALSE,3,7-5,0-6,6-0,TRUE,FALSE,5,2,3,0,0,0
7-6 0-6 6-0,7-6,FALSE,3,7-6,0-6,6-0,TRUE,FALSE,6,3,3,0,0,0
6-0 1-6 6-0,6-0,FALSE,3,6-0,1-6,6-0,TRUE,TRUE,3,1,2,1,0,1
6-1 1-6 6-0,6-1,FALSE,3,6-1,1-6,6-0,TRUE,FALSE,13,3,10,0,0,0
6-2 1-6 6-0,6-2,FALSE,3,6-2,1-6,6-0,TRUE,TRUE,26,10,16,1,0,1
6-3 1-6 6-0,6-3,FALSE,3,6-3,1-6,6-0,TRUE,TRUE,50,23,27,1,1,0
6-4 1-6 6-0,6-4,FALSE,3,6-4,1-6,6-0,TRUE,FALSE,22,12,10,0,0,0
7-5 1-6 6-0,7-5,FALSE,3,7-5,1-6,6-0,TRUE,FALSE,10,5,5,0,0,0
7-6 1-6 6-0,7-6,FALSE,3,7-6,1-6,6-0,TRUE,FALSE,9,2,7,0,0,0
6-0 2-6 6-0,6-0,FALSE,3,6-0,2-6,6-0,TRUE,FALSE,13,5,8,0,0,0
6-1 2-6 6-0,6-1,FALSE,3,6-1,2-6,6-0,TRUE,TRUE,29,11,18,2,1,1
6-2 2-6 6-0,6-2,FALSE,3,6-2,2-6,6-0,TRUE,FALSE,37,12,25,0,0,0
6-3 2-6 6-0,6-3,FALSE,3,6-3,2-6,6-0,TRUE,FALSE,50,21,29,0,0,0
6-4 2-6 6-0,6-4,FALSE,3,6-4,2-6,6-0,TRUE,FALSE,35,12,23,0,0,0
7-5 2-6 6-0,7-5,FALSE,3,7-5,2-6,6-0,TRUE,FALSE,17,5,12,0,0,0
7-6 2-6 6-0,7-6,FALSE,3,7-6,2-6,6-0,TRUE,FALSE,23,12,11,0,0,0
6-0 3-6 6-0,6-0,FALSE,3,6-0,3-6,6-0,TRUE,FALSE,16,6,10,0,0,0
6-1 3-6 6-0,6-1,FALSE,3,6-1,3-6,6-0,TRUE,TRUE,76,23,53,1,0,1
6-2 3-6 6-0,6-2,FALSE,3,6-2,3-6,6-0,TRUE,TRUE,68,21,47,2,1,1
6-3 3-6 6-0,6-3,FALSE,3,6-3,3-6,6-0,TRUE,TRUE,116,47,69,1,0,1
6-4 3-6 6-0,6-4,FALSE,3,6-4,3-6,6-0,TRUE,FALSE,96,45,51,0,0,0
7-5 3-6 6-0,7-5,FALSE,3,7-5,3-6,6-0,TRUE,TRUE,25,10,15,1,0,1
7-6 3-6 6-0,7-6,FALSE,3,7-6,3-6,6-0,TRUE,TRUE,40,21,19,1,0,1
6-0 4-6 6-0,6-0,FALSE,3,6-0,4-6,6-0,TRUE,FALSE,16,5,11,0,0,0
6-1 4-6 6-0,6-1,FALSE,3,6-1,4-6,6-0,TRUE,TRUE,51,23,28,1,0,1
6-2 4-6 6-0,6-2,FALSE,3,6-2,4-6,6-0,TRUE,TRUE,77,28,49,1,0,1
6-3 4-6 6-0,6-3,FALSE,3,6-3,4-6,6-0,TRUE,FALSE,116,48,68,0,0,0
6-4 4-6 6-0,6-4,FALSE,3,6-4,4-6,6-0,TRUE,TRUE,98,44,54,3,1,2
7-5 4-6 6-0,7-5,FALSE,3,7-5,4-6,6-0,TRUE,FALSE,58,25,33,0,0,0
7-6 4-6 6-0,7-6,FALSE,3,7-6,4-6,6-0,TRUE,FALSE,40,21,19,0,0,0
6-0 5-7 6-0,6-0,FALSE,3,6-0,5-7,6-0,TRUE,FALSE,4,0,4,0,0,0
6-1 5-7 6-0,6-1,FALSE,3,6-1,5-7,6-0,TRUE,FALSE,23,6,17,0,0,0
6-2 5-7 6-0,6-2,FALSE,3,6-2,5-7,6-0,TRUE,FALSE,31,6,25,0,0,0
6-3 5-7 6-0,6-3,FALSE,3,6-3,5-7,6-0,TRUE,FALSE,33,12,21,0,0,0
6-4 5-7 6-0,6-4,FALSE,3,6-4,5-7,6-0,TRUE,FALSE,40,12,28,0,0,0
7-5 5-7 6-0,7-5,FALSE,3,7-5,5-7,6-0,TRUE,FALSE,16,6,10,0,0,0
7-6 5-7 6-0,7-6,FALSE,3,7-6,5-7,6-0,TRUE,FALSE,18,8,10,0,0,0
6-0 6-7 6-0,6-0,FALSE,3,6-0,6-7,6-0,TRUE,FALSE,14,4,10,0,0,0
6-1 6-7 6-0,6-1,FALSE,3,6-1,6-7,6-0,TRUE,FALSE,38,16,22,0,0,0
6-2 6-7 6-0,6-2,FALSE,3,6-2,6-7,6-0,TRUE,FALSE,51,22,29,0,0,0
6-3 6-7 6-0,6-3,FALSE,3,6-3,6-7,6-0,TRUE,TRUE,54,29,25,2,1,1
6-4 6-7 6-0,6-4,FALSE,3,6-4,6-7,6-0,TRUE,TRUE,53,25,28,1,0,1
7-5 6-7 6-0,7-5,FALSE,3,7-5,6-7,6-0,TRUE,FALSE,19,8,11,0,0,0
7-6 6-7 6-0,7-6,FALSE,3,7-6,6-7,6-0,TRUE,FALSE,26,18,8,0,0,0
6-0 0-6 6-1,6-0,FALSE,3,6-0,0-6,6-1,TRUE,FALSE,6,3,3,0,0,0
6-1 0-6 6-1,6-1,FALSE,3,6-1,0-6,6-1,TRUE,FALSE,15,6,9,0,0,0
6-2 0-6 6-1,6-2,FALSE,3,6-2,0-6,6-1,TRUE,FALSE,15,3,12,0,0,0
6-3 0-6 6-1,6-3,FALSE,3,6-3,0-6,6-1,TRUE,TRUE,22,9,13,1,0,1
6-4 0-6 6-1,6-4,FALSE,3,6-4,0-6,6-1,TRUE,TRUE,30,15,15,2,2,0
7-5 0-6 6-1,7-5,FALSE,3,7-5,0-6,6-1,TRUE,TRUE,17,5,12,1,0,1
7-6 0-6 6-1,7-6,FALSE,3,7-6,0-6,6-1,TRUE,FALSE,13,7,6,0,0,0
6-0 1-6 6-1,6-0,FALSE,3,6-0,1-6,6-1,TRUE,TRUE,14,6,8,1,0,1
6-1 1-6 6-1,6-1,FALSE,3,6-1,1-6,6-1,TRUE,FALSE,70,24,46,0,0,0
6-2 1-6 6-1,6-2,FALSE,3,6-2,1-6,6-1,TRUE,TRUE,67,23,44,1,1,0
6-3 1-6 6-1,6-3,FALSE,3,6-3,1-6,6-1,TRUE,FALSE,108,49,59,0,0,0
6-4 1-6 6-1,6-4,FALSE,3,6-4,1-6,6-1,TRUE,TRUE,121,56,65,5,2,3
7-5 1-6 6-1,7-5,FALSE,3,7-5,1-6,6-1,TRUE,FALSE,32,18,14,0,0,0
7-6 1-6 6-1,7-6,FALSE,3,7-6,1-6,6-1,TRUE,TRUE,62,35,27,3,2,1
6-0 2-6 6-1,6-0,FALSE,3,6-0,2-6,6-1,TRUE,FALSE,24,11,13,0,0,0
6-1 2-6 6-1,6-1,FALSE,3,6-1,2-6,6-1,TRUE,TRUE,82,28,54,2,0,2
6-2 2-6 6-1,6-2,FALSE,3,6-2,2-6,6-1,TRUE,TRUE,130,43,87,4,0,4
6-3 2-6 6-1,6-3,FALSE,3,6-3,2-6,6-1,TRUE,TRUE,135,49,86,3,0,3
6-4 2-6 6-1,6-4,FALSE,3,6-4,2-6,6-1,TRUE,TRUE,155,62,93,4,1,3
7-5 2-6 6-1,7-5,FALSE,3,7-5,2-6,6-1,TRUE,FALSE,67,26,41,0,0,0
7-6 2-6 6-1,7-6,FALSE,3,7-6,2-6,6-1,TRUE,TRUE,85,48,37,2,2,0
6-0 3-6 6-1,6-0,FALSE,3,6-0,3-6,6-1,TRUE,TRUE,42,12,30,2,0,2
6-1 3-6 6-1,6-1,FALSE,3,6-1,3-6,6-1,TRUE,TRUE,175,75,100,3,1,2
6-2 3-6 6-1,6-2,FALSE,3,6-2,3-6,6-1,TRUE,TRUE,224,108,116,5,1,4
6-3 3-6 6-1,6-3,FALSE,3,6-3,3-6,6-1,TRUE,TRUE,355,193,162,7,6,1
6-4 3-6 6-1,6-4,FALSE,3,6-4,3-6,6-1,TRUE,TRUE,363,194,169,8,3,5
7-5 3-6 6-1,7-5,FALSE,3,7-5,3-6,6-1,TRUE,FALSE,121,55,66,0,0,0
7-6 3-6 6-1,7-6,FALSE,3,7-6,3-6,6-1,TRUE,TRUE,147,97,50,4,3,1
6-0 4-6 6-1,6-0,FALSE,3,6-0,4-6,6-1,TRUE,FALSE,69,23,46,0,0,0
6-1 4-6 6-1,6-1,FALSE,3,6-1,4-6,6-1,TRUE,FALSE,137,52,85,0,0,0
6-2 4-6 6-1,6-2,FALSE,3,6-2,4-6,6-1,TRUE,TRUE,221,85,136,1,0,1
6-3 4-6 6-1,6-3,FALSE,3,6-3,4-6,6-1,TRUE,TRUE,229,113,116,4,3,1
6-4 4-6 6-1,6-4,FALSE,3,6-4,4-6,6-1,TRUE,TRUE,283,114,169,3,1,2
7-5 4-6 6-1,7-5,FALSE,3,7-5,4-6,6-1,TRUE,TRUE,152,71,81,2,2,0
7-6 4-6 6-1,7-6,FALSE,3,7-6,4-6,6-1,TRUE,TRUE,185,119,66,3,2,1
6-0 5-7 6-1,6-0,FALSE,3,6-0,5-7,6-1,TRUE,FALSE,32,9,23,0,0,0
6-1 5-7 6-1,6-1,FALSE,3,6-1,5-7,6-1,TRUE,FALSE,51,17,34,0,0,0
6-2 5-7 6-1,6-2,FALSE,3,6-2,5-7,6-1,TRUE,TRUE,96,32,64,1,0,1
6-3 5-7 6-1,6-3,FALSE,3,6-3,5-7,6-1,TRUE,TRUE,110,55,55,3,0,3
6-4 5-7 6-1,6-4,FALSE,3,6-4,5-7,6-1,TRUE,TRUE,98,45,53,5,2,3
7-5 5-7 6-1,7-5,FALSE,3,7-5,5-7,6-1,TRUE,TRUE,43,16,27,1,0,1
